Program,starling_total,starling_proof,caper_impl,caper_annot,caper_total,caper_proof,voila_total,voila_impl,voila_proof,iris_total,iris_proof,num_hints,custom_hints,build_seconds,old_build_seconds,old_total,old_proof
arc,72,16,31,22,70,1,,,,,,5,0,12.6,9.6,62,7
bag_stack,,,35,26,70,0,205,29,36,170,92,7,3,24.5,16.5,117,36
barrier,,,71,31,102,0,,,,,,14,0,989.6,801.5,200,38
barrier_client,,,127,60,189,0,,,,,,6,0,69.3,49.3,175,44
bounded_counter,,,25,20,50,2,79,24,9,,,4,0,17,10.5,73,7
cas_counter,,,20,15,40,0,68,25,9,95,39,2,0,11,7.5,56,0
cas_counter_client,,,41,,94,0,267,45,36,,,4,0,6.2,5.5,36,0
clh_lock,134,15,,,,,,,,,,7,0,33.4,21.9,94,3
fork_join,,,17,16,38,0,51,16,7,,,2,0,8.7,7.7,57,0
fork_join_client,,,32,30,70,0,124,28,20,,,0,0,3.6,3.3,30,0
inc_dec,,,29,19,54,0,99,28,12,,,6,0,43.8,30.6,78,0
lclist,197,134,,,,,,,,,,2,2,42,26.6,86,18
lclist_extra,,,,,,,,,,,,3,2,148.9,91,182,2
mcs_lock,,,,,,,,,,,,9,0,97.6,70.3,147,11
msc_queue,,,,,,,,,,,,13,3,174,101.6,168,46
peterson,94,5,,,,,,,,,,7,0,859,471,166,28
queue,,,60,37,99,0,,,,,,12,3,101.1,76.6,170,46
rwlock_duolock,,,,,,,,,,,,7,0,22.7,20.7,109,10
rwlock_ticket_bounded,109,14,,,,,,,,,,13,0,74.6,53.8,74,12
rwlock_ticket_unbounded,,,,,,,,,,,,8,0,24.5,20.1,124,5
rwlock_lockless_faa,,,36,25,68,1,,,,,,8,0,33.7,19.8,116,1
spin_lock,76,22,17,17,39,0,65,15,7,93,30,3,0,7.8,5.4,59,0
ticket_lock,66,11,33,19,59,0,90,23,12,168,78,5,0,31.5,23,90,6
ticket_lock_client,,,41,29,79,0,87,16,11,,,1,0,6.4,5.7,39,0
